mac,brand
00-22-72,American Micro-Fuel Device Corp.
00-D0-EF,IGT
08-61-95,Rockwell Automation
F4-BD-9E,Cisco Systems Inc.
58-85-E9,Realme Chongqing MobileTelecommunications Corp Ltd
BC-23-92,BYD Precision Manufacture Company Ltd
40-55-82,Nokia
A4-E3-1B,Nokia
D8-97-90,Commonwealth Scientific and Industrial Research Organisation
88-3A-30,Aruba Networks HP
B8-A5-8D,Axe Group Holdings Limited
50-CE-E3,Gigafirm Ltd
98-E7-43,Dell Inc.
C4-19-D1,Telink Semiconductor (Shanghai) Ltd
88-7E-25,Extreme Networks Inc.
08-60-83,ZTE Corporation
E0-19-54,ZTE Corporation
10-32-7E,Huawei Device Ltd
F8-08-4F,Sagemcom Broadband SAS
30-FB-B8,Huawei Technologies Ltd
F4-97-C2,Nebulon Inc
A4-45-19,Xiaomi Communications Ltd
68-DB-F5,Amazon Technologies Inc.
24-46-C8,Motorola Mobility LLC, a Lenovo Company
18-02-AE,Vivo Mobile Communication Ltd
0C-20-D3,Vivo Mobile Communication Ltd
44-D7-91,Huawei Technologies Ltd
84-46-FE,Huawei Technologies Ltd
D8-29-18,Huawei Technologies Ltd
D0-D0-03,Samsung Electronics Ltd
64-B2-1D,Chengdu Phycom Tech Ltd
C4-29-96,Signify B.V.
98-06-37,IEEE Registration Authority
8C-B8-4A,Samsung Electro-Mechanics(Thailand)
98-E8-FA,Nintendo Ltd
38-C4-E8,NSS Sp. z o.o.
34-DD-7E,Umeox Innovations Ltd
CC-CD-64,SM-Electronic GmbH
24-DF-A7,Hangzhou BroadLink Technology Ltd
B0-65-F1,WIO Manufacturing HK Limited
90-12-34,Shenzhen YOUHUA Technology Ltd
54-2A-1B,Sonos Inc.
5C-92-5E,Zioncom Electronics (Shenzhen) Ltd
08-4F-A9,Cisco Systems Inc.
08-4F-F9,Cisco Systems Inc.
50-98-B8,New H3C Technologies Ltd
11-00-AA,Private
B8-4D-EE,Hisense broadband multimedia technology Ltd
A8-93-52,Shanghai Zhongmi Communication Technology Ltd
E4-CC-9D,Integrated Device T
B0-4C-05,Fresenius Medical Care Deutschland GmbH
B0-79-3C,Revolv Inc
9C-4E-BF,BoxCast
34-A8-43,KYOCERA Display Corporation
74-CA-25,Calxeda Inc.
5C-A3-EB,Lokel s.r.o.
C8-B3-73,Cisco-Linksys LLC
0C-2A-E7,Beijing General Research Institute Of Mining and Metallurgy
98-30-71,Daikyung Vascom
D4-95-24,Clover Network Inc.
94-50-47,Rechnerbetriebsgruppe
E0-31-D0,SZ Telstar Ltd
54-11-2F,Sulzer Pump Solutions Finland Oy
4C-55-B8,Turkcell Teknoloji
08-80-39,Cisco SPVTG
E4-38-F2,Advantage Controls
C4-C7-55,Beijing HuaqinWorld Technology Ltd
0C-2D-89,QiiQ Communications Inc.
A8-D2-36,Lightware Visual Engineering
98-10-94,Shenzhen Vsun Communication technology Ltd
A4-F3-C1,Open Source Robotics Foundation Inc.
14-13-30,Anakreon UK LLP
0C-F4-05,Beijing Signalway Technologies Ltd
50-61-D6,Indu-Sol GmbH
DC-70-14,Private
78-8D-F7,Hitron Technologies Inc.
2C-24-5F,Babolat VS
90-56-92,Autotalks Ltd
04-BF-A8,ISB Corporation
8C-C7-D0,zhejiang ebang Communication Ltd
B8-AE-6E,Nintendo Ltd
D0-EB-03,Zhehua technology limited
68-3E-EC,Ereca
C4-26-28,Airo Wireless
30-AA-BD,Shanghai Reallytek Information Technology Ltd
A4-B8-18,PENTA Gesellschaft fur elektronische Industriedatenverarbeitung mbH
C0-4D-F7,Serelec
0C-84-84,Zenovia Electronics Inc.
00-59-07,LenovoEMC Products USA LLC
50-A7-15,Aboundi Inc.
0C-04-00,Jantar d.o.o.
68-7C-D5,Y Soft Corporation, a.s.
90-7A-F1,Wally
2C-B6-93,Radware
A8-61-AA,Cloudview Limited
FC-11-86,Logic3 plc
E0-18-77,Fujitsu Limited
E4-57-A8,Stuart Manufacturing Inc.
78-99-66,Musilab Electronics (DongGuan) Ltd
28-CB-EB,One
7C-A1-5D,GN ReSound A/S
3C-08-1E,Beijing Yupont Electric Power Technology Ltd
FC-58-FA,Shen Zhen Shi Xin Zhong Xin Technology Ltd
4C-CC-34,Motorola Solutions Inc.
D0-D4-71,MVTECH Ltd
08-68-D0,Japan System Design
D4-22-3F,Lenovo Mobile Communication Technology Ltd
C8-EE-A6,Shenzhen SHX Technology Ltd
24-81-AA,KSH International Ltd
AC-41-22,Eclipse Electronic Systems Inc.
68-97-E8,Society Of Motion Picture & Television Engineers
E8-E8-75,iS5 Communications Inc.
C8-0E-95,OmniLync Inc.
30-05-5C,Brother Industries Ltd
08-0E-A8,Velex s.r.l.
B8-C4-6F,Primmcon Industries Inc
D8-B0-2E,Guangzhou Zonerich Business Machine Ltd
C4-E0-32,IEEE 1904.1 Working Group
58-EB-14,Proteus Digital Health
C4-58-C2,Shenzhen TATFOOK Technology Ltd
D0-CD-E1,Scientech Electronics
5C-E0-CA,FeiTian United (Beijing) System Technology Ltd
E0-81-77,GreenBytes Inc.
9C-98-11,Guangzhou Sunrise Electronics Development Ltd
B8-60-91,Onnet Technologies and Innovations LLC
8C-76-C1,Goden Tech Limited
8C-07-8C,Flow Data Inc
F8-DF-A8,ZTE Corporation
A8-95-B0,Aker Subsea Ltd
10-4D-77,Innovative Computer Engineering
C4-5D-D8,HDMI Forum
C4-EB-E3,Rrcn SAS
94-75-6E,QinetiQ North America
4C-1A-95,Novakon Ltd
60-BB-0C,Beijing HuaqinWorld Technology Ltd
A4-2C-08,Masterwork Automodules
10-B9-FE,Lika srl
30-15-18,Ubiquitous Communication Ltd
84-17-15,GP Electronics (HK) Ltd
84-8E-96,Embertec Pty Ltd
64-99-A0,AG Elektronik AB
08-F1-B7,Towerstream Corpration
C0-44-E3,Shenzhen Sinkna Electronics Ltd
18-55-0F,Cisco SPVTG
18-7A-93,AMICCOM Electronics Corporation
88-87-DD,DarbeeVision Inc.
30-C8-2A,WI-BIZ srl
88-A3-CC,Amatis Controls
C0-A0-C7,Fairfield Industries
DC-A9-89,Macandc
A0-03-63,Robert Bosch Healthcare GmbH
D0-B4-98,Robert Bosch LLC Automotive Electronics
E0-55-97,Emergent Vision Technologies Inc.
7C-43-8F,E-Band Communications Corp.
A0-E2-5A,Amicus SK, s.r.o.
D4-0F-B2,Applied Micro Electronics AME bv
44-9B-78,The Now Factory
F0-F6-69,Motion Analysis Corporation
78-99-5C,Nationz Technologies Inc
84-9D-C5,Centera Photonics Inc.
58-09-43,Private
EC-FC-55,A. Eberle GmbH & Co. KG
18-2A-7B,Nintendo Ltd
68-FB-95,Generalplus Technology Inc.
5C-89-D4,Beijing Banner Electric Ltd
54-11-5F,Atamo Pty Ltd
8C-AE-4C,Plugable Technologies
0C-C6-55,Wuxi YSTen Technology Ltd
24-2F-FA,Toshiba Global Commerce Solutions
E4-96-AE,ALTOGRAPHICS Inc.
4C-22-58,Cozybit Inc.
F4-94-66,CountMax Ltd
F4-52-14,Mellanox Technologies Inc.
1C-95-9F,Veethree Electronics And Marine LLC
08-81-F4,Juniper Networks
10-F4-9A,T3 Innovation
3C-57-BD,Kessler Crane Inc.
04-E9-E5,Pjrc.com LLC
60-BD-91,Move Innovation
CC-4B-FB,Hellberg Safety AB
6C-AD-EF,KZ Broadband Technologies Ltd
74-5F-AE,TSL PPL
68-51-B7,PowerCloud Systems Inc.
74-2D-0A,Norfolk Elektronik AG
70-F1-E5,Xetawave LLC
C0-AA-68,OSASI Technos Inc.
88-D7-BC,DEP Company
48-5A-3F,Wisol
60-BC-4C,EWM Hightec Welding GmbH
1C-11-E1,Wartsila Finland Oy
50-46-5D,ASUSTek Computer Inc.
74-BF-A1,Hyunteck
CC-26-2D,Verifi LLC
3C-8A-E5,Tensun Information Technology(Hangzhou) Ltd
2C-5A-A3,Promate Electronic Ltd
34-E0-CF,ZTE Corporation
08-B7-38,Lite-On Technogy Corp.
F8-AA-8A,Axview Technology (Shenzhen) Ltd
7C-01-87,Curtis Instruments Inc.
54-F6-66,Berthold Technologies GmbH and Co.KG
34-C8-03,Nokia Corporation
F0-5F-5A,Getriebebau NORD GmbH and Co. KG
80-1D-AA,Avaya Inc
7C-09-2B,Bekey A/S
84-2B-BC,Modelleisenbahn GmbH
B4-00-9C,CableWorld Ltd
28-9E-DF,Danfoss Turbocor Compressors Inc.
80-3F-D6,bytes at work AG
78-44-05,FUJITU(HONG KONG) ELECTRONIC Ltd
04-4A-50,Ramaxel Technology (Shenzhen) limited Company
0C-D9-C1,Visteon Corporation
38-A5-B6,Shenzhen Megmeet Electrical Ltd
68-AB-8A,RF IDeas
24-EE-3A,Chengdu Yingji Electronic Hi-tech Ltd
0C-C6-6A,Nokia Corporation
74-27-3C,ChangYang Technology (Nanjing) Ltd
08-7C-BE,Quintic Corp.
E8-04-F3,Throughtek Ltd
08-68-EA,Eito Electronics Ltd
F8-22-85,Cypress Technology Ltd
C4-AD-21,MEDIAEDGE Corporation
E8-5B-F0,Imaging Diagnostics
A4-0B-ED,Carry Technology Ltd
70-23-93,fos4X GmbH
64-D8-14,Cisco Systems Inc.
F8-5F-2A,Nokia Corporation
C4-38-D3,Tagatec Ltd
50-2E-CE,Asahi Electronics Ltd
AC-14-D2,wi-daq Inc.
9C-4C-AE,Mesa Labs
20-C1-AF,i Wit Digital Ltd
80-AA-A4,Usag
30-AE-F6,Radio Mobile Access
08-5B-0E,Fortinet Inc.
EC-42-F0,ADL Embedded Solutions Inc.
E8-CB-A1,Nokia Corporation
6C-E4-CE,Villiger Security Solutions AG
64-9F-F7,Kone Oyj
CC-91-2B,TE Connectivity Touch Solutions
C0-5E-79,Shenzhen Huaxun ARK Technologies Ltd
58-BF-EA,Cisco Systems Inc.
C4-01-B1,SeekTech Inc
C0-C9-46,Mitsuya Laboratories Inc.
F4-60-0D,Panoptic Technology Inc.
A8-2B-D6,Shina System Ltd
AC-CF-23,Hi-flying electronics technology Ltd
60-90-84,DSSD Inc
FC-1D-59,I Smart Cities HK Ltd
